Rank,Author,Score,Students
267,"Anthony Marvin Yezer Department of Economics, George Washington University, Washington, District of Columbia (USA)",293.52,10
268,Michael John Artis †,295.16,4.5
269,"Xavier  Gabaix Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",295.95,2.5
270,"Joshua D Angrist Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",296.02,4.5
271,"Ramon  Marimon Department of Economics, European University Institute, Firenze, Italy",296.2,8
272,Jan Salomon Cramer †,296.95,5.5
273,"Michael  Lechner School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, Switzerland",297.54,8
274,"Anthony J. Venables Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford University, Oxford, United Kingdom",298.18,2.5
275,"Lawrence J. Christiano Department of Economics, Northwestern University, Evanston, Illinois (USA)",298.58,5
276,"Mark P. Taylor Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)",300.83,2
277,"Robin  Burgess Economics Department, London School of Economics (LSE), London, United Kingdom",301.3,6.5
278,"Timothy  Cason Department of Economics, Krannert School of Management, Purdue University, West Lafayette, Indiana (USA)",302.24,7
279,"Patrick  Kehoe Department of Economics, Stanford University, Stanford, California (USA)",304.12,3.5
280,"P. Dean  Corbae Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",306.56,12.5
281,"Juergen  von Hagen Centre for Economic Policy Research (CEPR), London, United Kingdom",307.32,8.5
282,"Eric  Leeper Department of Economics, University of Virginia, Charlottesville, Virginia (USA)",310.74,9.5
283,"Severin  Borenstein Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",312.14,4
284,Richard C. Green †,314.6,6
285,"Gregor W. Smith Economics Department, Queen's University, Kingston, Canada",315.74,11
286,"David  Encaoua Equipe Universitaire de Recherche en Économie Quantitative (EUREQua), Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris, FranceParis School of Economics, Paris, France",317.44,8
287,"Kevin  Lang Department of Economics, Boston University, Boston, Massachusetts (USA)",317.69,19.5
288,"Douglas  Gale Department of Economics, New York University (NYU), New York City, New York (USA)",318.58,6
289,"Michael H. Riordan Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",318.68,2.5
290,"Henk  Folmer Economische Geografie/Vastgoedkunde, Faculteit der Ruimtelijke Wetenschappen, Rijksuniversiteit Groningen, Groningen, Netherlands",319.22,2.5
291,"Pol  Antras Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",319.48,6
292,"Dale  Jorgenson Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",321.64,4
293,"Soren  Johansen Økonomisk Institut, Københavns Universitet, København, Denmark",323.29,8
294,Sudipto  Bhattacharya †,323.47,1
295,"Jean Charles Rochet Geneva Finance Research Institute (GFRI), Université de Genève, Genève, Switzerland",324.72,12
296,"Georg  Noldeke Wirtschaftswissenschaftliches Zentrum, Universität Basel, Basel, Switzerland",324.77,6
297,Finn E. Kydland,326.79,6
298,"Kaushik  Basu Department of Economics, Cornell University, Ithaca, New York (USA)",330.5,15
299,"Bruno R Biais Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",330.55,7
300,Gebhard  Kirchgassner †,335.37,3.5
301,James Edward Meade †,337.25,1
302,"Gerald P Dwyer John E. Walker Department of Economics, College of Business and Behavioral Science, Clemson University, Clemson, South Carolina (USA)",339.29,2
303,"Roger E. A. Farmer Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)Department of Economics, University of Warwick, Coventry, United Kingdom",339.66,4.5
304,"Ted  Bergstrom Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",345.7,1.5
305,"Tore  Ellingsen Department of Economics, Handelshögskolan i Stockholm, Stockholm, Sweden",347.01,6
306,"Frans A.A.M. van Winden Centre for Research in Experimental Economics and Political Decision-Making (CREED), Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, NetherlandsTinbergen Instituut, Amsterdam, Netherlands",347.74,5
307,"Samuel  Bentolila Centro de Estudios Monetarios y Financieros (CEMFI), Madrid, Spain",351.46,4
308,"Andrew Granger Atkeson Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",352.07,2.5
309,Jacob A. Mincer †,352.44,1.5
310,"Antonio  Ciccone Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",353.82,6
311,"Alan S. Blinder Griswold Center for Economic Policy Studies, Department of Economics, Princeton University, Princeton, New Jersey (USA)Department of Economics, Princeton University, Princeton, New Jersey (USA)",354.02,4.5
312,"Caroline  Hoxby Department of Economics, Stanford University, Stanford, California (USA)",359.03,3.5
313,"Michael  Fritsch Wirtschaftswissenschaftliche Fakultät, Friedrich-Schiller-Universität Jena, Jena, Germany",359.58,12
314,"Michael  Lipton Poverty Research Unit, University of Sussex, Brighton, United KingdomDepartment of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",360.59,1
315,James  Levinsohn,363.93,4
316,Reinhard  Selten †,365.06,3.5
317,"Raouf  Boucekkine Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM), École d'Économie d'Aix-Marseille, Aix-Marseille Université, Marseille, France",365.84,16.5
318,"Adrian Rodney Pagan School of Economics, Faculty of Arts and Social Sciences, University of Sydney, Sydney, Australia",366.04,4.5
319,"Bruce E. Hansen Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",367.96,7.5
320,"Omar  Licandro Centre for Finance, Credit and Macroeconomics (CFCM), School of Economics, University of Nottingham, Nottingham, United Kingdom",368.46,10
321,"Peter  Temin Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",368.58,1
322,"Roland  Vaubel Abteilung für Volkswirtschaftslehre, Universität Mannheim, Mannheim, Germany",370.43,2
323,"Stefan  Dercon Centre for the Study of African Economies (CSAE), Department of Economics, Oxford University, Oxford, United Kingdom",370.67,9.5
324,"Pierre  Pestieau Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",372.14,2.5
324,"Robert A. Becker Department of Economics, Indiana University, Bloomington, Indiana (USA)",372.14,5
324,"Allan  Timmermann Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",372.14,3.5
327,"J. Peter  Neary Department of Economics, Oxford University, Oxford, United Kingdom",374.1,9
328,"Christopher F Baum Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",374.56,10
329,"Eddie  Dekel Department of Economics, Northwestern University, Evanston, Illinois (USA)Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",375.29,9
330,"Donald S. Siegel School of Public Affairs, Arizona State University, Phoenix, Arizona (USA)",375.33,1
331,"Jeffrey Andrew Smith Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",376.98,16.5
332,"Winfried  Pohlmeier Fachbereich Wirtschaftswissenschaften, Universität Konstanz, Konstanz, GermanyZentrum für Finanzen und Ökonometrie, Fachbereich Wirtschaftswissenschaften, Universität Konstanz, Konstanz, Germany",378.29,13
333,"John Allan Weymark Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",378.56,3
334,"Carmen M. Reinhart Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",379.2,8
335,"Dale O. Stahl IIDepartment of Economics, University of Texas-Austin, Austin, Texas (USA)",379.23,2
336,John Forrest Kain †,379.63,1
337,"Herman K. van Dijk Tinbergen Instituut, Amsterdam, Netherlands",379.81,2.5
338,"Alain  de Janvry Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)Goldman School of Public Policy, University of California-Berkeley, Berkeley, California (USA)",380.12,4
339,"Stephen  Ross Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",380.44,7
340,"John M. Abowd Census Bureau, Department of Commerce, Government of the United States, Washington, District of Columbia (USA)",380.59,6
341,"Timothy J. Besley Economics Department, London School of Economics (LSE), London, United Kingdom",382.47,2
342,"Mathias  Dewatripont European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",382.74,3.5
343,Michael Louis Mussa †,384.29,2
344,"Harmen  Verbruggen Afdeling Ruimtelijke Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",384.64,2
345,"David Allen Lam Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",385.35,11
346,Suzanne  Scotchmer †,385.41,1.5
347,"Jonathan  Eaton Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",386.06,3
348,"Andrew  Chesher Department of Economics, University College London (UCL), London, United Kingdom",386.71,3.5
349,"John  List Department of Economics, University of Chicago, Chicago, Illinois (USA)",387.06,5
350,"Edward Andrew Miguel Department of Economics, University of California-Berkeley, Berkeley, California (USA)",388.39,7.5
351,"Jock R. Anderson Department of Agricultural and Resource Economics, School of Economics, Business School, University of New England, Armidale, Australia",388.42,1
352,"Dirk  Krueger Penn Institute for Economic Research, Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",388.75,9.5
353,"Larry D. Neal Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",388.89,5
354,"Anthony A. Smith Jr.Economics Department, Yale University, New Haven, Connecticut (USA)",389.7,2
355,"Victor  Chernozhukov Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",390.52,2.5
356,William S. Vickrey †,390.67,1.5
357,"Brian R. Copeland Vancouver School of Economics, University of British Columbia, Vancouver, Canada",391.6,11
358,William F. Lucas †,392.66,2
359,"David M. Kreps Graduate School of Business, Stanford University, Stanford, California (USA)",393.45,3
360,"Geert  Ridder Department of Economics, University of Southern California, Los Angeles, California (USA)",393.94,3.5
361,"William N. Evans Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",394.24,7
362,"David  Canning Department of Global Health and Population, Harvard T. H. Chan School of Public Health, Harvard University, Cambridge, Massachusetts (USA)",396.53,4
363,"Danny  Quah Economics Department, London School of Economics (LSE), London, United Kingdom",396.8,4
364,"Wolfgang Karl Hardle Institut für Statistik und Ökonometrie (ISÖ), Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, GermanyCenter for Applied Statistics and Econometrics (CASE), Humboldt-Universität Berlin, Berlin, Germany",397.89,22.5
365,"Ronald G. Ehrenberg Department of Economics, Cornell University, Ithaca, New York (USA)Institute of Labor Economics (IZA), Bonn, Germany",399.21,4.5
366,"Gert  Peersman Faculteit Economie en Bedrijfskunde, Universiteit Gent, Gent, Belgium",399.91,10
367,"Michael B. Devereux Vancouver School of Economics, University of British Columbia, Vancouver, Canada",401.94,9
368,"Judith K. Hellerstein Department of Economics, University of Maryland, College Park, Maryland (USA)",402.62,9.5
369,Lawrence R. Klein †,402.92,3
370,"John Graham Riley Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",403.17,1.5
371,"Francesco  Caselli Economics Department, London School of Economics (LSE), London, United Kingdom",403.95,6.5
371,"Thomas  Nechyba Department of Economics, Duke University, Durham, North Carolina (USA)",403.95,6
373,"Michael  Parkin Department of Economics, University of Western Ontario, London, Canada",404.71,1
374,Philippe  Michel †,405.13,3.5
375,"Christoph M. Schmidt RWI - Leibniz-Institut für Wirtschaftsforschung, Essen, Germany",405.81,16.5
376,Pierre  Malgrange †,407.03,3
377,"Mark L. Gertler Department of Economics, New York University (NYU), New York City, New York (USA)",409.03,4.5
378,"Aman  Ullah Department of Economics, University of California-Riverside, Riverside, California (USA)",409.04,3
379,"Pierre  Picard Centre de Recherche en Économie et Statistique (CREST), Palaiseau, France",409.38,10
380,"John  Whalley Department of Economics, University of Western Ontario, London, Canada",411.26,4.5
381,"Dennis  Snower CESifo, München, GermanyInstitut für Weltwirtschaft (IfW), Kiel, Germany",411.67,3.5
382,"Ricardo  Reis Economics Department, London School of Economics (LSE), London, United Kingdom",412.97,8.5
383,"James R. Hines Jr.Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",413.09,10
