Rank,Author,Score,Author_clean
244,"Richard Rogerson Department of Economics, Princeton University, Princeton, New Jersey (USA)",5806,Richard Rogerson
245,"Charles L. Evans Federal Reserve Bank of Chicago, Chicago, Illinois (USA)",5792,Charles L. Evans
246,"Mike Wright Business School, University of Nottingham, Nottingham, United Kingdom",5786,Mike Wright
247,"John Moore School of Economics, University of Edinburgh, Edinburgh, United Kingdom",5784,John Moore
248,"Menzie Chinn Robert M. La Follette School of Public Affairs, University of Wisconsin-Madison, Madison, Wisconsin (USA)",5776,Menzie Chinn Robert
249,"Allan Timmermann Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",5763,Allan Timmermann
250,"Rachel Griffith School of Economics, University of Manchester, Manchester, United Kingdom",5762,Rachel Griffith
251,"David G. Blanchflower Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",5751,David G. Blanchflower
251,Stephen Knack †,5751,Stephen Knack
253,"Alan S. Blinder Griswold Center for Economic Policy Studies, Department of Economics, Princeton University, Princeton, New Jersey (USA)Department of Economics, Princeton University, Princeton, New Jersey (USA)",5726,Alan S. Blinder
254,"Olympia Bover Banco de España, Madrid, Spain",5716,Olympia Bover
255,"Marco Pagano Centro Studi di Economia e Finanza (CSEF), Napoli, Italy",5715,Marco Pagano
256,"Viral V. Acharya Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",5706,Viral V. Acharya
257,"Kenneth Singleton Graduate School of Business, Stanford University, Stanford, California (USA)",5694,Kenneth Singleton
258,"Roberto Perotti Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy",5693,Roberto Perotti
259,"J. Bradford Jensen McDonough School of Business, Georgetown University, Washington, District of Columbia (USA)",5690,J. Bradford Jensen
260,"Anne Case Department of Economics, Princeton University, Princeton, New Jersey (USA)Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",5668,Anne Case
261,Ivo Welch,5626,Ivo Welch
262,"Steven N. Durlauf Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",5619,Steven N. Durlauf
263,"Alan M. Taylor Economics Department, University of California-Davis, Davis, California (USA)",5608,Alan M. Taylor
264,"Stephen Machin Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",5606,Stephen Machin
265,"Andrew W. Lo Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",5604,Andrew W. Lo
266,"Michael P Keane School of Economics, UNSW Business School, UNSW Sydney, Sydney, Australia",5596,Michael P
267,"Vernon L. Smith Economic Science Institute (ESI), Argyros School of Business and Economics, Chapman University, Orange, California (USA)",5591,Vernon L. Smith
268,"Enrique G. Mendoza Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",5571,Enrique G. Mendoza
269,"Gian Maria Milesi-Ferretti Centre for Economic Policy Research (CEPR), London, United KingdomInternational Monetary Fund (IMF), Washington, District of Columbia (USA)",5569,Gian Maria
270,"Ariel Rubinstein Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",5535,Ariel Rubinstein
271,"Mitchell Petersen Department of Finance, Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",5521,Mitchell Petersen
272,"Eric van Wincoop Department of Economics, University of Virginia, Charlottesville, Virginia (USA)",5509,Eric van
273,"Robert F. Stambaugh Finance Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",5506,Robert F. Stambaugh
274,"Jonathan Gruber Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",5503,Jonathan Gruber
275,"David Neumark Department of Economics, University of California-Irvine, Irvine, California (USA)",5490,David Neumark
276,"Gregory Udell Department of Finance, Kelley School of Business, Indiana University, Bloomington, Indiana (USA)",5459,Gregory Udell
277,"David A. Hensher Institute of Transport and Logistics Studies (ITLS), Business School, University of Sydney, Sydney, Australia",5429,David A. Hensher
278,"Robert James Hodrick Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",5406,Robert James
279,"Jakob de Haan Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",5403,Jakob de
280,"Samuel Kortum Economics Department, Yale University, New Haven, Connecticut (USA)",5400,Samuel Kortum
280,Paul Klemperer,5400,Paul Klemperer
282,"Steven J. Davis Applied Economics Workshop, Booth School of Business, University of Chicago, Chicago, Illinois (USA)",5381,Steven J. Davis
283,"Katarina Juselius Økonomisk Institut, Københavns Universitet, København, Denmark",5380,Katarina Juselius
284,"Thierry Mayer Department of Economics, Sciences économiques, Sciences Po, Paris, France",5361,Thierry Mayer
284,"Giovanni Dosi Laboratory of Economics and Management (LEM), Scuola Superiore Sant'Anna, Pisa, Italy",5361,Giovanni Dosi
286,Rudiger Dornbusch †,5354,Rudiger Dornbusch
287,"A. Colin Cameron Economics Department, University of California-Davis, Davis, California (USA)",5326,A. Colin Cameron
288,"Richard Roll Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",5321,Richard Roll
289,"Leopold Simar Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",5307,Leopold Simar
290,"Roland J. Benabou Department of Economics, Princeton University, Princeton, New Jersey (USA)Institute of Labor Economics (IZA), Bonn, Germany",5287,Roland J. Benabou
291,"Richard J. Zeckhauser Mossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",5284,Richard J. Zeckhauser
292,"Christopher B. Barrett Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)",5262,Christopher B. Barrett
293,"Larry G. Epstein Department of Economics, Boston University, Boston, Massachusetts (USA)",5258,Larry G. Epstein
294,"David Hirshleifer Paul Merage School of Business, University of California-Irvine, Irvine, California (USA)",5230,David Hirshleifer
295,"G. William Schwert William E. Simon Graduate School of Business Administration, University of Rochester, Rochester, New York (USA)",5229,G. William Schwert
296,"Ann E. Harrison Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",5226,Ann E. Harrison
296,"Glenn W. Harrison Department of Risk Management and Insurance, J. Mack Robinson College of Business, Georgia State University, Atlanta, Georgia (USA)",5226,Glenn W. Harrison
298,"Andrew Ang Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",5210,Andrew Ang
299,"David Dollar Brookings Institution, Washington, District of Columbia (USA)",5202,David Dollar
300,"Xavier Gabaix Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",5190,Xavier Gabaix
301,"Christian Dustmann Department of Economics, University College London (UCL), London, United KingdomCentre for Research and Analysis of Migration (CReAM), University College London (UCL), London, United Kingdom",5176,Christian Dustmann
302,"Steven Levitt Department of Economics, University of Chicago, Chicago, Illinois (USA)",5165,Steven Levitt
303,"William H Greene Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",5139,William H
304,"Stephanie Schmitt-Grohe Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",5130,Stephanie Schmitt-Grohe
305,"Lasse Heje Pedersen Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",5126,Lasse Heje
306,"John Roberts Graduate School of Business, Stanford University, Stanford, California (USA)",5113,John Roberts
307,"Joel Slemrod Department of Business Economics and Public Policy, Ross School of Business, University of Michigan, Ann Arbor, Michigan (USA)Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",5104,Joel Slemrod
308,"Danny Quah Economics Department, London School of Economics (LSE), London, United Kingdom",5093,Danny Quah
309,"Yakov Amihud Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",5086,Yakov Amihud
310,"William D. Nordhaus Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)Economics Department, Yale University, New Haven, Connecticut (USA)",5083,William D. Nordhaus
311,"Ayhan Kose World Bank Group, Washington, District of Columbia (USA)",5082,Ayhan Kose
312,"Michael Grossman Department of Economics, Graduate Center, City University of New York (CUNY), New York City, New York (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",5071,Michael Grossman
313,"Charles I. Plosser Federal Reserve Bank of Philadelphia, Philadelphia, Pennsylvania (USA)",5060,Charles I. Plosser
314,"Pierre Chiappori Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",5049,Pierre Chiappori
315,"Kenneth A. Froot Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",5035,Kenneth A. Froot
316,"Richard J. Smith Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",4988,Richard J. Smith
317,"Lant Pritchett Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",4980,Lant Pritchett
318,Martin L. Weitzman †,4975,Martin L. Weitzman
319,"Bennett McCallum Department of Economics, Tepper School of Business Administration, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",4974,Bennett McCallum
320,"Glenn Ellison Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",4945,Glenn Ellison
321,"Raj Chetty Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",4920,Raj Chetty
322,"Thomas Piketty Paris School of Economics, Paris, France",4914,Thomas Piketty
323,"Philip Keefer Inter-American Development Bank, Washington, District of Columbia (USA)",4913,Philip Keefer
324,"Jere Richard Behrman Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",4908,Jere Richard
325,"Harald Uhlig Department of Economics, University of Chicago, Chicago, Illinois (USA)",4872,Harald Uhlig
326,"Matthew O. Jackson Department of Economics, Stanford University, Stanford, California (USA)",4866,Matthew O. Jackson
327,"Tullio Jappelli Centro Studi di Economia e Finanza (CSEF), Napoli, Italy",4847,Tullio Jappelli
328,"Joseph G. Altonji Economics Department, Yale University, New Haven, Connecticut (USA)",4841,Joseph G. Altonji
329,"Randall Wright Department of Finance, Investment and Banking, School of Business, University of Wisconsin-Madison, Madison, Wisconsin (USA)Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",4839,Randall Wright
330,"George Tauchen Department of Economics, Duke University, Durham, North Carolina (USA)",4837,George Tauchen
331,"Klaus M. Schmidt Volkswirtschaftliche Fakultät, Ludwig-Maximilians-Universität München, München, Germany",4833,Klaus M. Schmidt
332,"Markus K. Brunnermeier Department of Economics, Princeton University, Princeton, New Jersey (USA)",4810,Markus K. Brunnermeier
332,"David Knudsen Levine Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)Robert Schuman Centre for Advanced Studies (RSCAS), European University Institute, Firenze, Italy",4810,David Knudsen Levine
334,"Marcel Fafchamps Freeman Spogli Institute for International Studies, Stanford University, Stanford, California (USA)",4797,Marcel Fafchamps
335,"Raf Wouters Nationale Bank van België/Banque national de Belqique (BNB), Bruxelles/Brussel, Belgium",4789,Raf Wouters
336,Harold Demsetz †,4784,Harold Demsetz
337,"David Schmeidler Coller School of Management, Tel Aviv University, Tel Aviv, Israel",4782,David Schmeidler
338,"Jorn-Steffen Pischke Economics Department, London School of Economics (LSE), London, United Kingdom",4773,Jorn-Steffen Pischke
339,"Alberto Abadie Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",4768,Alberto Abadie
